epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.19584332676806687, 0.3259897828863346) (0.19482356092079936, 0.319060773480663)1.001218436093166
40 (0.1920641862451222, 0.31462585034013607) (0.1940841941032989, 0.3141677255400254)0.8936489368307179
60 (0.19160343770052868, 0.3147283531409168) (0.19249705901361922, 0.3135117976933658)0.8263590178270449
80 (0.19495390553183836, 0.32026004476180325) (0.19494110057426645, 0.3168579931972789)0.79916403759485
100 (0.19840521503637396, 0.32045430421399) (0.18784398377440312, 0.3043247827008692)0.7721731765516873
120 (0.19674687225238915, 0.3180996917844617) (0.19215929951624244, 0.3109717201786094)0.7497003790975987
140 (0.19212148601590856, 0.3115486961149548) (0.190920513546941, 0.3095541401273885)0.7448493173752708
160 (0.19414004496592963, 0.3227726982776951) (0.19327198784183702, 0.30994152046783624)0.7283018663011748
180 (0.19484350766549574, 0.3127659574468085) (0.19105021041021228, 0.3109288453344695)0.7150557376872534
200 (0.19592560466428283, 0.3186743148502231) (0.1907689341438089, 0.3104911424631378)0.7089578399713012
