epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.07670175462857505, 0.08519463943841736) (0.07946574297370715, 0.08865059985136427)1.2157509868795222
40 (0.06930609120398468, 0.07680851063829787) (0.07201975818182581, 0.08058879593349572)1.1902140378952026
60 (0.07349627478967731, 0.08047073791348601) (0.07327744837816252, 0.08335981357907002)1.1802476427771829
80 (0.07416359127553883, 0.07988511860440378) (0.0792187484309696, 0.08720621078379241)1.1709511821920222
100 (0.07349019436878622, 0.08100647627136638) (0.0780445763659907, 0.085508168894547)1.171949798410589
120 (0.07448182084080943, 0.08215538314379849) (0.0840691820086459, 0.09413138066433195)1.1652168902483853
140 (0.0735762102621862, 0.08118159600467538) (0.07559719876166159, 0.0834217788155381)1.1699686592275447
160 (0.06847780041110833, 0.07691490491872942) (0.06732356802539648, 0.07653927813163482)1.162495125423778
180 (0.06704269912642531, 0.07682499203060249) (0.06401656755645609, 0.07428693060876969)1.1675281199541958
200 (0.06558387692156564, 0.07436523956230745) (0.07016948825769294, 0.08011049723756906)1.1632706035267224
