epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.2406630934312152, 0.3889058524173028) (0.24461002209547897, 0.4008361374528398)1.1262962167913264
40 (0.2416246630457888, 0.3882436837815811) (0.24480540417377553, 0.39975575005088543)1.0939962024038488
60 (0.23977362319815348, 0.38970438328236495) (0.24165788329865764, 0.3943031536113937)1.0725617639043115
80 (0.23861077122455665, 0.39098585817478887) (0.2411476139880754, 0.39444500966527624)1.0599188696254382
100 (0.2336419295199075, 0.37886046274589746) (0.2426953693091168, 0.3911581949679128)1.0384169099005787
120 (0.23285670736425013, 0.3780810755754736) (0.22996417154294252, 0.376655123243023)1.023080785843459
140 (0.22641740724683457, 0.3771777890983189) (0.22918110685948093, 0.38055442315532)1.0119816701520572
160 (0.22840159061731324, 0.3724531377343113) (0.2334837395119209, 0.37943659107088373)1.008005285804922
180 (0.23146825134423638, 0.38038935888288655) (0.230004726594474, 0.37927524429967424)0.9951286221092398
200 (0.2230898130257082, 0.3653650599959325) (0.22575804072923994, 0.37460511566289617)0.9905846924944357
