epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.006849492334834051, 0.014055815848441637) (0.005186709144611934, 0.010814119567435217)1.110622072761709
40 (0.0069079200257661, 0.015284287752190748) (0.007782339699421171, 0.015881095388374223)1.0954155054959385
60 (0.007679224275757774, 0.017824404155632512) (0.008004641838984226, 0.01763506625891947)1.0805722271854228
80 (0.007822625823053174, 0.017631471667346108) (0.007114901697942913, 0.01486307645322203)1.0651531490412625
100 (0.007284752232565535, 0.016091251654954678) (0.007965880626705139, 0.016888798453555804)1.0523203320123933
120 (0.0077145511577149635, 0.01598289728188944) (0.0073652455911526445, 0.016188149053146)1.051458708264611
140 (0.007406129668336568, 0.014981655116184264) (0.007038927262475978, 0.015405019383799224)1.0507667606527156
160 (0.0074166996072969876, 0.015594740597288758) (0.006991342272490741, 0.015077424612876936)1.038173946467313
180 (0.006479956787768201, 0.012622149837133551) (0.007145897772236895, 0.014061544732015489)1.028193624182181
200 (0.006926480547010682, 0.015276504735716468) (0.006469332281159352, 0.01494509963399756)1.030572460456328
