epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.31217561977022484, 0.46258919469928644) (0.27908616958006743, 0.4307425540595675)0.11854681015014648
40 (0.30284408292443726, 0.44584819154355576) (0.26668500105686244, 0.4085583290881304)0.08318988597818783
60 (0.2903574784982746, 0.4273190621814475) (0.2620425538538913, 0.40293338765532694)0.07064412892929145
80 (0.29939966634623616, 0.44300834520659477) (0.2710462249686463, 0.4153501172153705)0.059936429687908716
100 (0.29651512510718503, 0.4372007741672609) (0.2648081405959492, 0.4006305939788446)0.06291682941573007
120 (0.2923584557917229, 0.429837067209776) (0.26529672469487914, 0.40675551938142235)0.05888325049408845
140 (0.29713707972751224, 0.43487116814339544) (0.26779646525591483, 0.4051636511486074)0.056491950431040355
160 (0.30765144228356806, 0.45128779395296753) (0.27370097074471356, 0.41626794258373206)0.05906160798455987
180 (0.29681680041928193, 0.4363784665579119) (0.27406012249015427, 0.4156743002544529)0.06404367106301444
200 (0.2977256064026564, 0.4329466829466829) (0.270784827769976, 0.41437589085725923)0.059583557386483466
