epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.25514157127008447, 0.4069400630914827) (0.2547893525939065, 0.4013030642369948)0.6627290573987094
40 (0.25667164191292186, 0.40905383360522024) (0.25423966614920646, 0.40653967607211977)0.5463984507051382
60 (0.24763564743355818, 0.3979020266829616) (0.2458405877273348, 0.3981057134127712)0.505231549455361
80 (0.2444598596217845, 0.3902736799267474) (0.24637236766954054, 0.3951949506260816)0.4715462746945294
100 (0.2508906784186135, 0.3996328029375765) (0.24428744215412646, 0.39137071334079576)0.447098795324564
120 (0.24760261655598353, 0.39425720395071784) (0.2474180862171903, 0.39712626108223786)0.4304619174111973
140 (0.2547068241712068, 0.4016109298531811) (0.25031771746642634, 0.40091556459816885)0.413966315375133
160 (0.2535214769662483, 0.4016268429079817) (0.24820875955599875, 0.3990830361691289)0.4019254893064499
180 (0.2508953949840129, 0.3989827060020346) (0.24683822525878357, 0.39489535477284327)0.38683864067901264
200 (0.25608829468760513, 0.4041361043194784) (0.25147576124865345, 0.39684478371501275)0.376200447705659
