epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.21293173528613213, 0.3470594230965243) (0.21636720312959265, 0.3554922121551461)1.1992704105377197
40 (0.2181090884364784, 0.3593845526798451) (0.21817223221752208, 0.35901355344950575)1.1946111365727017
60 (0.2229824748493899, 0.3655410903173312) (0.22375596864148603, 0.3686837815810921)1.1868114001410348
80 (0.22043670166342996, 0.3716588451336462) (0.22413637666866335, 0.3739157056842535)1.190298604284014
100 (0.22149962694921774, 0.36742578283855226) (0.22286918658622387, 0.37123371335504884)1.1867764915738788
120 (0.22701560395457065, 0.37170483460559794) (0.22676065879411902, 0.3717517578722103)1.1747933380944389
140 (0.22399975528358831, 0.36642231724699653) (0.22613461964082235, 0.37489820846905536)1.1782153190885272
160 (0.2248488509197628, 0.3609865470852018) (0.22382923764054755, 0.3696383087111564)1.1642510829653059
180 (0.22971916346146118, 0.3726809378185525) (0.22735058384300139, 0.37339580362599306)1.1686658246176584
200 (0.2272206158667228, 0.3735246235246235) (0.21848675657105507, 0.36225530179445353)1.1622237723214286
