epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.22362414861760535, 0.36421887713588286) (0.21778095522736782, 0.3581177429211652)1.196466144834246
40 (0.22286468330789777, 0.3602035623409669) (0.22521934973873334, 0.36924174480228295)1.1841993161610194
60 (0.2184347270156469, 0.36543159609120524) (0.21752031687219933, 0.36238672232970165)1.190723898751395
80 (0.20358041278057495, 0.3502750050926869) (0.2020727251752176, 0.3443890528029301)1.1969374077660697
100 (0.21659023605638467, 0.36026422764227645) (0.22111321277821203, 0.36269113149847093)1.1850397511890955
120 (0.21500056066092763, 0.3581755243331297) (0.21566298708517526, 0.3586558044806517)1.1808703878947666
140 (0.21574760103275503, 0.3634881825590872) (0.21604539274848622, 0.36038332143949436)1.1801552983692714
160 (0.2155506496413672, 0.35924605196128373) (0.21475216877687264, 0.35905286793223107)1.174024613925389
180 (0.21730109487196494, 0.3568807339449541) (0.21657128999453334, 0.35619514186568685)1.1701918690545219
200 (0.21627420267370695, 0.35977972669794006) (0.21289977146335676, 0.35825608638076806)1.1662797662190028
