epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.4828817154659981, 0.7413907284768212) (0.43144194388991514, 0.6778145695364238)0.6641726518670718
40 (0.5546985896461063, 0.8018211920529801) (0.5001512850265516, 0.7447019867549669)0.5524410357077917
60 (0.5798365395716542, 0.8167218543046357) (0.5272179670759023, 0.7602649006622516)0.5033513667682806
80 (0.5931646788687137, 0.8188741721854305) (0.5382359540719734, 0.773841059602649)0.47623182212313014
100 (0.5957619262050186, 0.8276490066225165) (0.5447594300426735, 0.7781456953642384)0.45882593592007953
120 (0.6052533902725291, 0.8299668874172186) (0.5444299831696285, 0.7766556291390728)0.44280368958910304
140 (0.6109246330157992, 0.833112582781457) (0.5465891427638688, 0.7806291390728477)0.42904550457994145
160 (0.6073804745837943, 0.8261589403973509) (0.5541166854118734, 0.7812913907284769)0.4178841697673003
180 (0.6059124671222257, 0.8299668874172186) (0.5498932354629524, 0.7819536423841059)0.4098634061714013
200 (0.6066313431508198, 0.8278145695364238) (0.5499732628498446, 0.7817880794701987)0.40289995446801186
