epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.5152810050912927, 0.7877483443708609) (0.4560588147509973, 0.7240066225165563)0.563274418314298
40 (0.5581827632535933, 0.8167218543046357) (0.502869948737205, 0.7513245033112583)0.5072566432257494
60 (0.5816773120564849, 0.8248344370860927) (0.5188093570462207, 0.7708609271523179)0.4811142683029175
80 (0.5848613347118229, 0.8299668874172186) (0.5329659706190554, 0.7733443708609271)0.4617944657802582
100 (0.5926773834926499, 0.8306291390728476) (0.534450254517019, 0.7783112582781457)0.4468943551182747
120 (0.595966841453391, 0.8283112582781457) (0.5402883542694074, 0.7801324503311259)0.42636657878756523
140 (0.601048955624566, 0.8360927152317881) (0.5456363035837597, 0.7793046357615894)0.4162854601939519
160 (0.6030120169253376, 0.8324503311258278) (0.5431111406294084, 0.7779801324503312)0.4169278045495351
180 (0.6027192226779988, 0.8309602649006622) (0.5464845202131533, 0.7814569536423841)0.40857915952801704
200 (0.6040477193296354, 0.8332781456953643) (0.5479209427559737, 0.7812913907284769)0.39894023289283115
