epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.4391419777431719, 0.7198675496688741) (0.38494765294653527, 0.6543046357615894)0.6610646148522695
40 (0.47452081492293435, 0.7501655629139072) (0.4234277948065784, 0.6920529801324503)0.6197644397616386
60 (0.4955297971999827, 0.7652317880794702) (0.44294448571975265, 0.7096026490066225)0.5905533830324808
80 (0.5069370438882514, 0.7728476821192053) (0.45402459819030283, 0.7165562913907285)0.5713602527976036
100 (0.51310166997839, 0.779635761589404) (0.46395263011207244, 0.7210264900662252)0.55906081199646
120 (0.5184249282331006, 0.785430463576159) (0.46935105903948177, 0.725)0.5416916732986768
140 (0.5236435724667263, 0.7882450331125828) (0.47059943518967434, 0.7283112582781457)0.5336511706312498
160 (0.5251113943593656, 0.7870860927152318) (0.468607550829379, 0.7302980132450331)0.5203820566336314
180 (0.5281696677646759, 0.7887417218543047) (0.46736577646446065, 0.7268211920529801)0.5188178569078445
200 (0.5297537282387331, 0.7935430463576159) (0.47137783757076257, 0.7299668874172185)0.5137094892561436
